No,full_text,username
1,"Jelang Lebaran, Perusahaan Mulai Booking Bus untuk Program Mudik Gratis

 #Sindonews #BukanBeritaBiasa .https://t.co/TuqlqY3ysc",InfoMakan2
2,"@anggapph2 anggaran segitu aja masih banyak sekolah yang kurang dan minta tambahan dari orang tua. untuk program makan siang gratis harus di mark up lebih banyak lagi. Tapi gw dulu SD pernah ada program snack bergizi gratis, itu program gabungan dengan PKK setempat",dranux
3,"@sfMarinaH keren sih ada program Makan Siang Gratis kayak gini, biar pertumbuhan dan perkembangan anak2 indo secara fisik jadi lebih baik, kemampuan secara iq akan mengikuti krn asupan nutrisi bergizi yg cukup #GiziUntukBangsa",nurmaphie
4,"Prabowo menunjukkan komitmen nyata pada masa depan dengan memberikan Makan Siang Gratis yang bergizi untuk anak-anak sekolah. #GiziUntukBangsa 

https://t.co/mzLBqVCQfL https://t.co/t6IZggkXHz",rismamelatiku
5,"Program Prabowo: makan gratis kpd pelajar, ibu hamil. 

Jumlah pelajar: 44 juta.

Mari kita hitung biaya makan gratis bagi pelajar saja.

 Untuk 1x makan: 44 juta pelajar x Rp50 ribu per porsi. (Harga segitu dianggap sdh bergizi lengkap).

Maka dlm sekali makan, anggaran negara https://t.co/eXaMcQBFLb",narkosun
6,"Makanan gratis dan bergizi untuk ibu-ibu yang sedang hamil setiap tahun, karena ini untuk memperkuat bayi2 dalam rahimnya. Semuanya 77 juta jiwa,"" katanya.

Pak Kencing Aja Bayar gimana ceritanya nih? 😂
 https://t.co/Ii5NHuX7ln",wandystjk2
7,"Tapi memang agak aneh sih wacana ""makan gratis"" ini.

Klo tujuannya mau mencegah stunting dengan membekali ibu hamil dan anak dengan makanan bergizi, baiknya dikemas ulang deh narasinya.

Jangan cuma sekedar nyebut ""Program Makan Gratis"".",SulaimanMarbun
8,@Gus_Raharjo Bukan hanya anak sekolah yg dijanjikan tapi juga bayi balita.. Jadi total aja sdiri brp banyak org yg dikasih mkn gratis tiap hari. Harusnya mikirin program yg bisa bikin masy berpenghasilan besar biar seluruh anggota keluarga bs makan enak bergizi... https://t.co/AfJHw0dbXX,AmaSarenn
9,"Saat ide pembagian susu dan makan siang bergizi gratis bagi siswa di tertawakan buzzer sebelah (ntah karena tugas atau betulan), kami para orang tua di negeri ini justru merasa itu program luar biasa yg sangat membantu. 

Mencetak generasi unggul salah satunya melalui asupan https://t.co/dyfOMD1fLb",BANGSAygSUJUD
10,"Program makan siang gratis buat anak itu bisa jd sarana utk stabilitas ekonomi. Rumus GDP = C +G + I + (X-M).
Kalo pengeluaran pemerintah besar dan rutin, GDP jg akan stabil.
Tugas kita tinggal ngawasin kualitas makanan yg diberikan, harus bersih, sehat, bergizi, &amp; bebas korupsi",RealKebenaran
11,"Pak @prabowo sudah memikirkan kondisi sprt ini tuk janji kampanye ngasih makan gratis anak sekolah seluruh Indonesia?

Lagian makanan bergizi program stunting itu untuk ibu hamil bukan untuk anak-anak!",BosPurwa
12,"Program makan siang dan susu gratis untuk murid Indonesia

Keren banget ini pak @Prabowo @gibran_tweet 

Makanan dan minuman bergizi utk penerus bangsa adalah investasi terbesar

Justru program ini dapat dirasakan langsung oleh rakyat

Tagar #PrabowoArogan adalah bentuk kepanikan https://t.co/psNM4W0HIh",Aryolejandro
13,"@Gerindra @prabowo Pak Prabowo sangat support banget untuk anak bangsa indonesia, oleh karna itu adanya program makan siang bergizi gratis ini menjadikan Indonesia unggul dan kuat anak-anak bangsa. #MenangBersamaRakyat",harooaira
14,"@dekade_08 Pak Prabowo sangat support banget untuk anak bangsa indonesia, oleh karna itu adanya program makan siang bergizi gratis ini menjadikan Indonesia unggul dan kuat anak-anak bangsa. #MenangBersamaRakyat",Afakhry97
15,Waduh kok ini sudah jalan ya program makan siang gratis dgn lauk pauk yg sangat bergizi di Tangerang.. Ini pasti terinspirasi dari @prabowo yg punya program makan siang gratis nih... https://t.co/nThaOYzFIO,bumnbersatu
16,"@Paltiwest Padahal yg diuntungkan nanti dr makan siang dan susu gratis adlh pihak ketiga perusahaan pengadaan. Ya ga sih? Syukur2 dapat makanan bergizi kawatirnya kayak program stunting di d*pok anak2 dibagi2kan kuah sop. Parahnya, kuahnya doang ga ada dagingnya. 😁😄😆",rinigrace
17,"@zahraamalias Makan siang gratis sbv program pemerintah yg menawarkan nutrisi memainkan peran penting dlm membantu anak"" yg mungkin mengalami kekurangan gizi. Namun,utk  benar"" menekan stunting, program ini perlu dikombinasikan dg upaya yg lebih luas dlm menyediakan akses ke makanan bergizi",Adrian_susiloo
18,"@1973Suharjito @adri_7i program makan gratis kan kusus tuk anak sd, bukan buat yg udah tua kek lu..anak2 itu perlu makan bergizi dimasa pertumbuhan..",DewiPutriku06
19,TKD Prabowo-Gibran Banten Turun Langsung Laksanakan Program Makan Siang Bergizi dan Susu Gratis https://t.co/VTEcqZkBFL,Kabarpolitikcom
20,"program Makan Siang dan Susu Gratis bagi siswa dan ibu hamil semoga makanan nya bergizi 
#MakanSiangSusuGratis https://t.co/3IkxAt2uqe",fridanurisya
21,"Prabowo mengungkapkan program pemberian susu dan telor atau makanan bergizi tersebut sebagai upaya mengatasi masalah stunting dan angka kemiskinan dari akar masalahnya.
#MakanGratis
https://t.co/MAlyUIcfdX",agejncy
22,"@GpFor2024 @99propaganda @alextham878 @bengkeldodo @P4P4B0W0_2024 @Minietweets_ @mpoklela7 @ignasbowo @Kimberley_2024 @Chaves1305 Yakin, semua mampu kasih makanan bergizi tinggi tiap hari agar anak2 kesehatan dan kecerdasannya ToP abis. 

Ntar pakai ahli gizi lho di program makan siang gratis. Tak asal kenyang. Tapi sehat cerdas ✌

Ini baru program riil. Ini baru satu.",BANGSAygSUJUD
23,"Maaf nih, Bkn mksd utk merendahkan program Makan Siang+Susu Gratis atasi Stunting. Jika taraf hidup ekonomi para Ortu meningkat spt, Pekerjaan+Upah yg layak, Sekolah&amp;Jamkes gratis, Rumah ga Ngontrak,Maka para Orang tua dpt beri asupan makan bergizi pd anak2nya..to be continue..",carlitovito180
24,"@Dennysiregar7 Program makan siang gratis sepertinya mengikuti prinsip kurangi potongan, tingkatkan kreativitasnya juga, nasi putih dan sosis memang tak tergantikan dalam menu bergizi rendah?",AJavandalas
25,@Bank_Joee_ @bengkeldodo @sobat_anies @PartaiSocmed @P4P4B0W0_2024 @Ndons_Back @99propaganda @AndreasSolusi @tijabar @IndraJPiliang @TyoSun3 @SujudAde Semoga dg program makan siang bergizi dan susu gratis tidak ada lagi orang2 bodoh lagi membodohkan 😊🤣😀,BANGSAygSUJUD
26,Tentu program makan siang gratis bagi siswa dengan makanan-makanan bergizi #BersamaIndonesiaMaju #PrabowoGibranIstimewa #PrabowoGemoy Prabowo Subianto,mercifulove
27,@psi_id Aku dukung program makan siang gratis dari Prabowo-Gibran. Biar anak Indonesia terjamin dalam sehari dapet makanan bergizi,sassyyosie
28,"Program makan siang gratis dibedah dalam 2 menit sama Bang @hotradero 
Lagian yah makan gratis ini program yg absurd banget, dan gak akan bisa dilaksanakan. Kalo tetep dipaksaain yg ada cm jd bahan bancakan doang. Alih2 anak2 dapet makanan bergizi yg ada bakalan dpt makanan basi! https://t.co/Zuf7Ysv6GV",ariefrasyad
29,@kompascom Program makan siang gratis dapat membantu mengurangi ketidaksetaraan sosial dengan memberikan akses yang sama terhadap makanan yang bergizi kepada mereka yang mungkin membutuhkan bantuan ekstra.,05_maryanne
30,"jujur program makan siang gratis ini gue setuju bgt sih, terutama buat anak SD yg butuh makanan sehat bergizi ya. karna ga semua anak dibekelin makan, banyaknya yg dikasih uang saku tapi pas istirahat belinya jajanan yg boro2 sehat kenyang aja engga",ishikawamore
31,"@andre_rosiade Program konyol makan siang gratis. Untuk mendapatkan proyek.  Investasi apaan kek gitu. 
Kalau memang punya gagasan cukup  menstabilkan harga pokok  semua  warga2 bisa membeli  makan yg sehat menciptakan lapangan kerja. Semua org mendapatkan uang  buat mmbeli kebutuhan yg bergizi",Syafridon8
32,"@Razak60621134 @kikysaputrii Baru sadar tujuan Paslon 02 buat program makan siang gratis yang bergizi untuk anak sekolah itu guna mempersiapkan anak"" bangsa biar gedenya ga tolol kaya Razak ya guys 🙏",orangsixpack
