Column1;full_text;id_str;created_at;username;lang;location;quote_count;reply_count;retweet_count;favorite_count;tweet_url;image_url;mentions;mention_count;target
1;"Jelang Lebaran, Perusahaan Mulai Booking Bus untuk Program Mudik Gratis

 #Sindonews #BukanBeritaBiasa .https://t.co/TuqlqY3ysc";1,62811E+18;44979,09112;InfoMakan2;in;;0;0;0;0;https://x.com/InfoMakan2/status/1628110109984292871;;[];0;
2;@anggapph2 anggaran segitu aja masih banyak sekolah yang kurang dan minta tambahan dari orang tua. untuk program makan siang gratis harus di mark up lebih banyak lagi. Tapi gw dulu SD pernah ada program snack bergizi gratis, itu program gabungan dengan PKK setempat;1,64604E+18;45028,56729;dranux;in;;0;1;0;0;https://x.com/dranux/status/1646039672618094592;;['anggapph2'];1;anggapph2
3;@sfMarinaH keren sih ada program Makan Siang Gratis kayak gini, biar pertumbuhan dan perkembangan anak2 indo secara fisik jadi lebih baik, kemampuan secara iq akan mengikuti krn asupan nutrisi bergizi yg cukup #GiziUntukBangsa;1,69177E+18;45154,76289;nurmaphie;in;;0;0;0;0;https://x.com/nurmaphie/status/1691771428167970932;;['sfMarinaH'];1;sfMarinaH
4;"Prabowo menunjukkan komitmen nyata pada masa depan dengan memberikan Makan Siang Gratis yang bergizi untuk anak-anak sekolah. #GiziUntukBangsa 

https://t.co/mzLBqVCQfL https://t.co/t6IZggkXHz";1,6918E+18;45154,84023;rismamelatiku;in;;0;0;0;0;https://x.com/rismamelatiku/status/1691799453655838983;https://pbs.twimg.com/media/F3p6ojtbgAAaCE1.jpg;[];0;
5;"Program Prabowo: makan gratis kpd pelajar, ibu hamil. 

Jumlah pelajar: 44 juta.

Mari kita hitung biaya makan gratis bagi pelajar saja.

 Untuk 1x makan: 44 juta pelajar x Rp50 ribu per porsi. (Harga segitu dianggap sdh bergizi lengkap).

Maka dlm sekali makan, anggaran negara https://t.co/eXaMcQBFLb";1,69964E+18;45176,46668;narkosun;in;;99;799;341;1355;https://x.com/narkosun/status/1699636615449289012;https://pbs.twimg.com/media/F5ZSTToaoAAcatn.jpg;[];0;
6;"Makanan gratis dan bergizi untuk ibu-ibu yang sedang hamil setiap tahun, karena ini untuk memperkuat bayi2 dalam rahimnya. Semuanya 77 juta jiwa,"" katanya.

Pak Kencing Aja Bayar gimana ceritanya nih? 😂
 https://t.co/Ii5NHuX7ln";1,69964E+18;45176,4833;wandystjk2;in;;1;37;8;50;https://x.com/wandystjk2/status/1699642637224214741;;[];0;
7;"Tapi memang agak aneh sih wacana ""makan gratis"" ini.

Klo tujuannya mau mencegah stunting dengan membekali ibu hamil dan anak dengan makanan bergizi, baiknya dikemas ulang deh narasinya.

Jangan cuma sekedar nyebut ""Program Makan Gratis"".";1,7002E+18;45178,02646;SulaimanMarbun;in;;0;0;0;0;https://x.com/SulaimanMarbun/status/1700201862635598142;;[];0;
8;@Gus_Raharjo Bukan hanya anak sekolah yg dijanjikan tapi juga bayi balita.. Jadi total aja sdiri brp banyak org yg dikasih mkn gratis tiap hari. Harusnya mikirin program yg bisa bikin masy berpenghasilan besar biar seluruh anggota keluarga bs makan enak bergizi... https://t.co/AfJHw0dbXX;1,70036E+18;45178,47235;AmaSarenn;in;;0;0;0;4;https://x.com/AmaSarenn/status/1700363444745326628;https://pbs.twimg.com/media/F5jninYaEAAw4lO.jpg;['Gus_Raharjo'];1;Gus_Raharjo
9;"Saat ide pembagian susu dan makan siang bergizi gratis bagi siswa di tertawakan buzzer sebelah (ntah karena tugas atau betulan), kami para orang tua di negeri ini justru merasa itu program luar biasa yg sangat membantu. 

Mencetak generasi unggul salah satunya melalui asupan https://t.co/dyfOMD1fLb";1,70112E+18;45180,54794;BANGSAygSUJUD;in;;13;80;15;59;https://x.com/BANGSAygSUJUD/status/1701115614759432667;https://pbs.twimg.com/ext_tw_video_thumb/1701115512712048640/pu/img/rAiiva6--ZCsIeFF.jpg;[];0;
10;"Program makan siang gratis buat anak itu bisa jd sarana utk stabilitas ekonomi. Rumus GDP = C +G + I + (X-M).
Kalo pengeluaran pemerintah besar dan rutin, GDP jg akan stabil.
Tugas kita tinggal ngawasin kualitas makanan yg diberikan, harus bersih, sehat, bergizi, &amp; bebas korupsi";1,72215E+18;45238,58421;RealKebenaran;in;;0;0;0;0;https://x.com/RealKebenaran/status/1722147256198181201;;[];0;
11;"Pak @prabowo sudah memikirkan kondisi sprt ini tuk janji kampanye ngasih makan gratis anak sekolah seluruh Indonesia?

Lagian makanan bergizi program stunting itu untuk ibu hamil bukan untuk anak-anak!";1,72503E+18;45246,54684;BosPurwa;in;;0;2;7;20;https://x.com/BosPurwa/status/1725032815753068882;;['prabowo'];1;prabowo
12;"Program makan siang dan susu gratis untuk murid Indonesia

Keren banget ini pak @Prabowo @gibran_tweet 

Makanan dan minuman bergizi utk penerus bangsa adalah investasi terbesar

Justru program ini dapat dirasakan langsung oleh rakyat

Tagar #PrabowoArogan adalah bentuk kepanikan https://t.co/psNM4W0HIh";1,72615E+18;45249,64028;Aryolejandro;in;;5;41;15;112;https://x.com/Aryolejandro/status/1726153839001387470;https://pbs.twimg.com/ext_tw_video_thumb/1726152916464214016/pu/img/y6v6Bj66HzdNOXBz.jpg;['Prabowo', 'gibran_tweet'];2;Prabowo
13;@Gerindra @prabowo Pak Prabowo sangat support banget untuk anak bangsa indonesia, oleh karna itu adanya program makan siang bergizi gratis ini menjadikan Indonesia unggul dan kuat anak-anak bangsa. #MenangBersamaRakyat;1,72716E+18;45252,42948;harooaira;in;;0;0;0;1;https://x.com/harooaira/status/1727164612918055204;;['Gerindra', 'prabowo'];2;Gerindra
14;@dekade_08 Pak Prabowo sangat support banget untuk anak bangsa indonesia, oleh karna itu adanya program makan siang bergizi gratis ini menjadikan Indonesia unggul dan kuat anak-anak bangsa. #MenangBersamaRakyat;1,72719E+18;45252,49574;Afakhry97;in;;0;0;0;0;https://x.com/Afakhry97/status/1727188625258090750;;['dekade_08'];1;dekade_08
15;Waduh kok ini sudah jalan ya program makan siang gratis dgn lauk pauk yg sangat bergizi di Tangerang.. Ini pasti terinspirasi dari @prabowo yg punya program makan siang gratis nih... https://t.co/nThaOYzFIO;1,72799E+18;45254,70359;bumnbersatu;in;;3;25;5;22;https://x.com/bumnbersatu/status/1727988721168023809;https://pbs.twimg.com/ext_tw_video_thumb/1727988676763021312/pu/img/o4A70hzmUn3SPnlV.jpg;['prabowo'];1;prabowo
16;@Paltiwest Padahal yg diuntungkan nanti dr makan siang dan susu gratis adlh pihak ketiga perusahaan pengadaan. Ya ga sih? Syukur2 dapat makanan bergizi kawatirnya kayak program stunting di d*pok anak2 dibagi2kan kuah sop. Parahnya, kuahnya doang ga ada dagingnya. 😁😄😆;1,72823E+18;45255,35616;rinigrace;in;;2;4;2;5;https://x.com/rinigrace/status/1728225203669577755;;['Paltiwest'];1;Paltiwest
17;"@zahraamalias Makan siang gratis sbv program pemerintah yg menawarkan nutrisi memainkan peran penting dlm membantu anak"" yg mungkin mengalami kekurangan gizi. Namun,utk  benar"" menekan stunting, program ini perlu dikombinasikan dg upaya yg lebih luas dlm menyediakan akses ke makanan bergizi";1,72876E+18;45256,84387;Adrian_susiloo;in;;0;0;0;0;https://x.com/Adrian_susiloo/status/1728764334460068046;;['zahraamalias'];1;zahraamalias
18;@1973Suharjito @adri_7i program makan gratis kan kusus tuk anak sd, bukan buat yg udah tua kek lu..anak2 itu perlu makan bergizi dimasa pertumbuhan..;1,72936E+18;45258,49763;DewiPutriku06;in;;0;0;0;0;https://x.com/DewiPutriku06/status/1729363635972321340;;['1973Suharjito', 'adri_7i'];2;1973Suharjito
19;TKD Prabowo-Gibran Banten Turun Langsung Laksanakan Program Makan Siang Bergizi dan Susu Gratis https://t.co/VTEcqZkBFL;1,7295E+18;45258,87661;Kabarpolitikcom;in;;0;0;0;0;https://x.com/Kabarpolitikcom/status/1729500974555783485;;[];0;
20;"program Makan Siang dan Susu Gratis bagi siswa dan ibu hamil semoga makanan nya bergizi 
#MakanSiangSusuGratis https://t.co/3IkxAt2uqe";1,73006E+18;45260,42196;fridanurisya;in;;0;0;0;0;https://x.com/fridanurisya/status/1730060988261732435;https://pbs.twimg.com/media/GAJpTJBaIAA2AdL.jpg;[];0;
21;"Prabowo mengungkapkan program pemberian susu dan telor atau makanan bergizi tersebut sebagai upaya mengatasi masalah stunting dan angka kemiskinan dari akar masalahnya.
#MakanGratis
https://t.co/MAlyUIcfdX";1,73051E+18;45261,66319;agejncy;in;;0;0;1;0;https://x.com/agejncy/status/1730510797925761535;;[];0;
22;"@GpFor2024 @99propaganda @alextham878 @bengkeldodo @P4P4B0W0_2024 @Minietweets_ @mpoklela7 @ignasbowo @Kimberley_2024 @Chaves1305 Yakin, semua mampu kasih makanan bergizi tinggi tiap hari agar anak2 kesehatan dan kecerdasannya ToP abis. 

Ntar pakai ahli gizi lho di program makan siang gratis. Tak asal kenyang. Tapi sehat cerdas ✌

Ini baru program riil. Ini baru satu.";1,73266E+18;45267,60399;BANGSAygSUJUD;in;;1;1;0;0;https://x.com/BANGSAygSUJUD/status/1732663673230114991;;['GpFor2024', '99propaganda', 'alextham878', 'bengkeldodo', 'P4P4B0W0_2024', 'Minietweets_', 'mpoklela7', 'ignasbowo', 'Kimberley_2024', 'Chaves1305'];10;GpFor2024
23;"Maaf nih, Bkn mksd utk merendahkan program Makan Siang+Susu Gratis atasi Stunting. Jika taraf hidup ekonomi para Ortu meningkat spt, Pekerjaan+Upah yg layak, Sekolah&amp;Jamkes gratis, Rumah ga Ngontrak,Maka para Orang tua dpt beri asupan makan bergizi pd anak2nya..to be continue..";1,73296E+18;45268,42618;carlitovito180;in;;0;1;0;2;https://x.com/carlitovito180/status/1732961622619242614;;[];0;
24;@Dennysiregar7 Program makan siang gratis sepertinya mengikuti prinsip kurangi potongan, tingkatkan kreativitasnya juga, nasi putih dan sosis memang tak tergantikan dalam menu bergizi rendah?;1,73325E+18;45269,20856;AJavandalas;in;;0;0;0;1;https://x.com/AJavandalas/status/1733245148904161471;;['Dennysiregar7'];1;Dennysiregar7
25;@Bank_Joee_ @bengkeldodo @sobat_anies @PartaiSocmed @P4P4B0W0_2024 @Ndons_Back @99propaganda @AndreasSolusi @tijabar @IndraJPiliang @TyoSun3 @SujudAde Semoga dg program makan siang bergizi dan susu gratis tidak ada lagi orang2 bodoh lagi membodohkan 😊🤣😀;1,73412E+18;45271,63022;BANGSAygSUJUD;in;;0;1;0;0;https://x.com/BANGSAygSUJUD/status/1734122729274744920;;['Bank_Joee_', 'bengkeldodo', 'sobat_anies', 'PartaiSocmed', 'P4P4B0W0_2024', 'Ndons_Back', '99propaganda', 'AndreasSolusi', 'tijabar', 'IndraJPiliang', 'TyoSun3', 'SujudAde'];12;Bank_Joee_
