,full_text,id_str,created_at,username,lang,location,quote_count,reply_count,retweet_count,favorite_count,tweet_url,image_url,mentions,mention_count,target
213,"kirain dulu MBG ini program peningkatan gizi masyarakat, ternyata peningkatan lifestyle

BGN lahir dari janji kampanye mulia: Anak-anak Indonesia harus makan bergizi. Stunting harus turun. Generasi emas 2045.

BGN dibentuk khusus untuk program makan bergizi gratis yang dijanjikan",2044796020371128688,2026-04-16 15:12:16+00:00,13_iwaN,in,,0,4,0,7,https://x.com/13_iwaN/status/2044796020371128688,,[],0,
172,"Rp6,31 triliun buat program Makan Bergizi Gratis, katanya demi anak-anak biar gak kekurangan gizi.

Tapi yang dibelanjain:
kaos kaki, semir sepatu, barang-barang random.

Ini program gizi atau proyek gragas?

Di lapangan masih banyak anak sekolah pakai kaos kaki bolong diikat https://t.co/hL0S5B3PfO",2045321486546927982,2026-04-18 02:00:17+00:00,bangherwin,in,,0,8,27,54,https://x.com/bangherwin/status/2045321486546927982,https://pbs.twimg.com/amplify_video_thumb/2045321271454715904/img/0pd4Cc70lo21J3hu.jpg,[],0,
36,"Arah kebijakan program Makan Bergizi Gratis (MBG) kini mengalami pergeseran signifikan. Presiden Prabowo Subianto meminta agar program unggulan tersebut tidak lagi diberikan secara universal, melainkan difokuskan secara spesifik kepada anak-anak yang mengalami kekurangan gizi dan https://t.co/XkAJKEXmh1",2045697928413749616,2026-04-19 02:56:08+00:00,NalarTumpul,in,,0,3,1,3,https://x.com/NalarTumpul/status/2045697928413749616,https://pbs.twimg.com/media/HGPHbKvbMAA2b7d.jpg,[],0,
126,"Pemerintah menyiapkan 1.000 unit rumah subsidi bagi karyawan program Makan Bergizi Gratis (MBG) melalui skema Fasilitas Likuiditas Pembiayaan Perumahan (FLPP) dengan uang muka mulai sekitar Rp1,8 juta.

Kebijakan ini untuk meningkatkan kesejahteraan karyawan sekaligus mendukung https://t.co/5ZfFJxrT9s",2045720303482138751,2026-04-19 04:25:02+00:00,99propaganda,in,,1,4,5,14,https://x.com/99propaganda/status/2045720303482138751,https://pbs.twimg.com/media/HGPbxA3a8AAmdkU.jpg,[],0,
7,"Seorang kreator viral menyoroti dampak program Makan Bergizi Gratis (MBG) melalui drama tentang warung sekolah yang kehilangan pelanggan.

Sejumlah UMKM mengaku omzet menurun sejak program berjalan. Selain itu, distribusi bahan pokok makin terpusat ke pemasok besar, harga di https://t.co/8NUa5JUZL9",2045891917188337747,2026-04-19 15:46:58+00:00,sosmedkeras,in,,11,32,253,639,https://x.com/sosmedkeras/status/2045891917188337747,https://pbs.twimg.com/amplify_video_thumb/2045891698874859521/img/6uuk2wQueB6LgMnS.jpg,[],0,
175,"Kepala BGN menyebut rata-rata IQ Indonesia 78 dan menargetkan peningkatan lewat program Makan Bergizi Gratis. Program ini fokus pada 1.000 hari pertama dan usia sekolah untuk mencegah stunting serta mendukung tumbuh kembang.

Baca selengkapnya: https://t.co/ctPLExoc28

~RK #MBG https://t.co/rEuJ0V8uu6",2046073398313591074,2026-04-20 03:48:07+00:00,kompascom,in,,4,19,0,3,https://x.com/kompascom/status/2046073398313591074,https://pbs.twimg.com/media/HGUc3NsbUAA4CKs.jpg,[],0,
118,"Kepala Badan Gizi Nasional (BGN) Dadan Hindayana mengatakan, pemerintah melakukan intervensi menyeluruh kepada anak-anak Indonesia melalui program Makan Bergizi Gratis (MBG).

Baca Selengkapnya di: https://t.co/d0J2EeFtbJ.

~AC #BGN #MBG https://t.co/eIfwoPZn7g",2046109085595287709,2026-04-20 06:09:55+00:00,kompascom,in,,0,11,0,1,https://x.com/kompascom/status/2046109085595287709,https://pbs.twimg.com/amplify_video_thumb/2046109021292380160/img/DF1aNq9YsZLH_b_W.jpg,[],0,
86,"MOMEN HARU PERPISAHAN SISWA YG PUTUS SEKOLAH KARENA FAKTOR EKONOMI.

Di tengah besarnya anggaran program seperti Makan Bergizi Gratis (MBG) yang mencapai triliunan rupiah, realitas di lapangan justru menunjukkan cerita yang berbeda.

Ikhsan, siswa kelas VIII di SMP Negeri 1 https://t.co/rvkxnxYpW7",2046120573814927521,2026-04-20 06:55:34+00:00,NenkMonica,in,,12,111,182,266,https://x.com/NenkMonica/status/2046120573814927521,https://pbs.twimg.com/ext_tw_video_thumb/2046120524850626560/pu/img/ct08nso3k34gMGp1.jpg,[],0,
77,"Seorang santri yatim bernama Muhammad Zainuddin Alwi merasakan manfaat program Makan Bergizi Gratis (MBG) setelah bergabung di dapur SPPG Klodran sejak 2025. Melalui pekerjaannya, ia memperoleh penghasilan untuk membantu keluarga sekaligus menambah keterampilan sebagai bekal di https://t.co/BpoFNYkJFU",2046222117780549957,2026-04-20 13:39:04+00:00,antaranews,in,,1,2,0,2,https://x.com/antaranews/status/2046222117780549957,https://pbs.twimg.com/amplify_video_thumb/2046221892206661632/img/fRgLW96obvcdWIBk.jpg,[],0,
141,"Harga Sayur Stabil, Petani Boyolali Dukung Keberlanjutan MBG

Boyolali, 20 April 2026 Program Makan Bergizi Gratis (MBG) mulai berdampak pada stabilitas harga sayur di tingkat petani di Boyolali.

Karisudin, petani di Kecamatan Selo, menyebut komoditas seperti bawang merah kini https://t.co/IRS6SwGzue",2046451825528983929,2026-04-21 04:51:51+00:00,BangPino__,in,,1,5,11,22,https://x.com/BangPino__/status/2046451825528983929,https://pbs.twimg.com/ext_tw_video_thumb/2046451738174210048/pu/img/lrp2qSx_Wb3vU8oc.jpg,[],0,
214,"Di balik senyum anak-anak, ada harapan besar untuk negeri ini. Polri turut mendampingi program makan bergizi gratis sebagai bentuk kepedulian terhadap tumbuh kembang generasi bangsa. Polri terus Menjamin Ketahanan Pangan Masyarakat dan #GiziUntukAnakIndonesia https://t.co/fIH8JiXxIp",2046467890996723951,2026-04-21 05:55:41+00:00,bidhumas_jatim,in,,9,11,13,39,https://x.com/bidhumas_jatim/status/2046467890996723951,https://pbs.twimg.com/media/HGaDs6SbUAAmoNn.jpg,[],0,
174,"Diterpa masalah bertubi-tubi, Uya Kuya kembali harus menghadapi ujian baru. 

Setelah sebelumnya rumahnya sempat dijarah akibat hoax yang viral, ia lagi-lagi jadi sasaran kabar bohong—kali ini dituding memiliki 750 dapur program Makan Bergizi Gratis (MBG).

Situasi ini membuat https://t.co/4SI5r1lRIy",2046647482302529570,2026-04-21 17:49:19+00:00,VIVAcoid,in,,0,0,1,7,https://x.com/VIVAcoid/status/2046647482302529570,https://pbs.twimg.com/media/HGcnCdqW8AAq7o9.jpg,[],0,
138,"🔴 Program Makan Bergizi Gratis (MBG) yang digulirkan Presiden Prabowo Subianto memberikan dampak positif bagi pelaku usaha kecil di daerah. Salah satunya dirasakan oleh Sholikin, perajin tempe asal Desa Semen, Kabupaten Ngawi, Jawa Timur, yang mencatat peningkatan produksi https://t.co/4g5zpLPQnq",2046778231672779208,2026-04-22 02:28:52+00:00,abu_waras,in,,0,5,9,14,https://x.com/abu_waras/status/2046778231672779208,https://pbs.twimg.com/ext_tw_video_thumb/2046777929489899520/pu/img/BZbuB_mPYDr58MfU.jpg,[],0,
