,No,full_text,username,tweet_tokens,tweet_tokens_fdist,tweet_tokens_WSW,tweet_normalized,tweet_tokens_stemmed
0,1,jelang lebaran perusahaan mulai booking bus untuk program mudik gratis,InfoMakan2,"['jelang', 'lebaran', 'perusahaan', 'mulai', 'booking', 'bus', 'untuk', 'program', 'mudik', 'gratis']",<FreqDist with 10 samples and 10 outcomes>,"['jelang', 'lebaran', 'perusahaan', 'booking', 'bus', 'program', 'mudik', 'gratis']","['jelang', 'lebaran', 'perusahaan', 'booking', 'bus', 'program', 'mudik', 'gratis']","['jelang', 'lebaran', 'usaha', 'booking', 'bus', 'program', 'mudik', 'gratis']"
1,2,anggaran segitu aja masih banyak sekolah yang kurang dan minta tambahan dari orang tua untuk program makan siang gratis harus di mark up lebih banyak lagi tapi gw dulu sd pernah ada program snack bergizi gratis itu program gabungan dengan pkk setempat,dranux,"['anggaran', 'segitu', 'aja', 'masih', 'banyak', 'sekolah', 'yang', 'kurang', 'dan', 'minta', 'tambahan', 'dari', 'orang', 'tua', 'untuk', 'program', 'makan', 'siang', 'gratis', 'harus', 'di', 'mark', 'up', 'lebih', 'banyak', 'lagi', 'tapi', 'gw', 'dulu', 'sd', 'pernah', 'ada', 'program', 'snack', 'bergizi', 'gratis', 'itu', 'program', 'gabungan', 'dengan', 'pkk', 'setempat']",<FreqDist with 38 samples and 42 outcomes>,"['anggaran', 'segitu', 'sekolah', 'tambahan', 'orang', 'tua', 'program', 'makan', 'siang', 'gratis', 'mark', 'up', 'gw', 'sd', 'program', 'snack', 'bergizi', 'gratis', 'program', 'gabungan', 'pkk']","['anggaran', 'segitu', 'sekolah', 'tambahan', 'orang', 'tua', 'program', 'makan', 'siang', 'gratis', 'mark', 'atas', 'aku', 'sd', 'program', 'snack', 'bergizi', 'gratis', 'program', 'gabungan', 'pkk']","['anggar', 'segitu', 'sekolah', 'tambah', 'orang', 'tua', 'program', 'makan', 'siang', 'gratis', 'mark', 'atas', 'aku', 'sd', 'program', 'snack', 'gizi', 'gratis', 'program', 'gabung', 'pkk']"
2,3,keren sih ada program makan siang gratis kayak gini biar pertumbuhan dan perkembangan anak indo secara fisik jadi lebih baik kemampuan secara iq akan mengikuti krn asupan nutrisi bergizi yg cukup,nurmaphie,"['keren', 'sih', 'ada', 'program', 'makan', 'siang', 'gratis', 'kayak', 'gini', 'biar', 'pertumbuhan', 'dan', 'perkembangan', 'anak', 'indo', 'secara', 'fisik', 'jadi', 'lebih', 'baik', 'kemampuan', 'secara', 'iq', 'akan', 'mengikuti', 'krn', 'asupan', 'nutrisi', 'bergizi', 'yg', 'cukup']",<FreqDist with 30 samples and 31 outcomes>,"['keren', 'program', 'makan', 'siang', 'gratis', 'kayak', 'gini', 'pertumbuhan', 'perkembangan', 'anak', 'indo', 'fisik', 'kemampuan', 'iq', 'mengikuti', 'asupan', 'nutrisi', 'bergizi']","['keren', 'program', 'makan', 'siang', 'gratis', 'seperti', 'gini', 'pertumbuhan', 'perkembangan', 'anak', 'indonesia', 'fisik', 'kemampuan', 'iq', 'mengikuti', 'asupan', 'nutrisi', 'bergizi']","['keren', 'program', 'makan', 'siang', 'gratis', 'seperti', 'gin', 'tumbuh', 'kembang', 'anak', 'indonesia', 'fisik', 'mampu', 'iq', 'ikut', 'asupan', 'nutrisi', 'gizi']"
3,4,prabowo menunjukkan komitmen nyata pada masa depan dengan memberikan makan siang gratis yang bergizi untuk anakanak sekolah,rismamelatiku,"['prabowo', 'menunjukkan', 'komitmen', 'nyata', 'pada', 'masa', 'depan', 'dengan', 'memberikan', 'makan', 'siang', 'gratis', 'yang', 'bergizi', 'untuk', 'anakanak', 'sekolah']",<FreqDist with 17 samples and 17 outcomes>,"['prabowo', 'komitmen', 'nyata', 'makan', 'siang', 'gratis', 'bergizi', 'anakanak', 'sekolah']","['prabowo', 'komitmen', 'nyata', 'makan', 'siang', 'gratis', 'bergizi', 'anakanak', 'sekolah']","['prabowo', 'komitmen', 'nyata', 'makan', 'siang', 'gratis', 'gizi', 'anakanak', 'sekolah']"
4,5,program prabowo makan gratis kpd pelajar ibu hamil jumlah pelajar juta mari kita hitung biaya makan gratis bagi pelajar saja untuk  makan juta pelajar  rp ribu per porsi harga segitu dianggap sdh bergizi lengkap maka dlm sekali makan anggaran negara,narkosun,"['program', 'prabowo', 'makan', 'gratis', 'kpd', 'pelajar', 'ibu', 'hamil', 'jumlah', 'pelajar', 'juta', 'mari', 'kita', 'hitung', 'biaya', 'makan', 'gratis', 'bagi', 'pelajar', 'saja', 'untuk', 'makan', 'juta', 'pelajar', 'rp', 'ribu', 'per', 'porsi', 'harga', 'segitu', 'dianggap', 'sdh', 'bergizi', 'lengkap', 'maka', 'dlm', 'sekali', 'makan', 'anggaran', 'negara']",<FreqDist with 32 samples and 40 outcomes>,"['program', 'prabowo', 'makan', 'gratis', 'kpd', 'pelajar', 'hamil', 'pelajar', 'juta', 'mari', 'hitung', 'biaya', 'makan', 'gratis', 'pelajar', 'makan', 'juta', 'pelajar', 'rp', 'ribu', 'porsi', 'harga', 'segitu', 'dianggap', 'bergizi', 'lengkap', 'dlm', 'makan', 'anggaran', 'negara']","['program', 'prabowo', 'makan', 'gratis', 'kpd', 'pelajar', 'hamil', 'pelajar', 'juta', 'mari', 'hitung', 'biaya', 'makan', 'gratis', 'pelajar', 'makan', 'juta', 'pelajar', 'rp', 'ribu', 'porsi', 'harga', 'segitu', 'dianggap', 'bergizi', 'lengkap', 'dalam', 'makan', 'anggaran', 'negara']","['program', 'prabowo', 'makan', 'gratis', 'kpd', 'ajar', 'hamil', 'ajar', 'juta', 'mari', 'hitung', 'biaya', 'makan', 'gratis', 'ajar', 'makan', 'juta', 'ajar', 'rp', 'ribu', 'porsi', 'harga', 'segitu', 'anggap', 'gizi', 'lengkap', 'dalam', 'makan', 'anggar', 'negara']"
5,6,makanan gratis dan bergizi untuk ibuibu yang sedang hamil setiap tahun karena ini untuk memperkuat bayi dalam rahimnya semuanya juta jiwa katanya pak kencing aja bayar gimana ceritanya nih,wandystjk2,"['makanan', 'gratis', 'dan', 'bergizi', 'untuk', 'ibuibu', 'yang', 'sedang', 'hamil', 'setiap', 'tahun', 'karena', 'ini', 'untuk', 'memperkuat', 'bayi', 'dalam', 'rahimnya', 'semuanya', 'juta', 'jiwa', 'katanya', 'pak', 'kencing', 'aja', 'bayar', 'gimana', 'ceritanya', 'nih']",<FreqDist with 28 samples and 29 outcomes>,"['makanan', 'gratis', 'bergizi', 'ibuibu', 'hamil', 'memperkuat', 'bayi', 'rahimnya', 'juta', 'jiwa', 'kencing', 'bayar', 'gimana', 'ceritanya']","['makanan', 'gratis', 'bergizi', 'ibuibu', 'hamil', 'memperkuat', 'bayi', 'rahimnya', 'juta', 'jiwa', 'kencing', 'bayar', 'gimana', 'ceritanya']","['makan', 'gratis', 'gizi', 'ibuibu', 'hamil', 'kuat', 'bayi', 'rahim', 'juta', 'jiwa', 'kencing', 'bayar', 'gimana', 'cerita']"
6,7,tapi memang agak aneh sih wacana makan gratis ini klo tujuannya mau mencegah stunting dengan membekali ibu hamil dan anak dengan makanan bergizi baiknya dikemas ulang deh narasinya jangan cuma sekedar nyebut program makan gratis,SulaimanMarbun,"['tapi', 'memang', 'agak', 'aneh', 'sih', 'wacana', 'makan', 'gratis', 'ini', 'klo', 'tujuannya', 'mau', 'mencegah', 'stunting', 'dengan', 'membekali', 'ibu', 'hamil', 'dan', 'anak', 'dengan', 'makanan', 'bergizi', 'baiknya', 'dikemas', 'ulang', 'deh', 'narasinya', 'jangan', 'cuma', 'sekedar', 'nyebut', 'program', 'makan', 'gratis']",<FreqDist with 32 samples and 35 outcomes>,"['aneh', 'wacana', 'makan', 'gratis', 'tujuannya', 'mencegah', 'stunting', 'membekali', 'hamil', 'anak', 'makanan', 'bergizi', 'baiknya', 'dikemas', 'ulang', 'deh', 'narasinya', 'sekedar', 'nyebut', 'program', 'makan', 'gratis']","['aneh', 'wacana', 'makan', 'gratis', 'tujuannya', 'mencegah', 'stunting', 'membekali', 'hamil', 'anak', 'makanan', 'bergizi', 'baiknya', 'dikemas', 'ulang', 'deh', 'narasinya', 'sekedar', 'nyebut', 'program', 'makan', 'gratis']","['aneh', 'wacana', 'makan', 'gratis', 'tuju', 'cegah', 'stunting', 'bekal', 'hamil', 'anak', 'makan', 'gizi', 'baik', 'kemas', 'ulang', 'deh', 'narasi', 'dar', 'nyebut', 'program', 'makan', 'gratis']"
7,8,raharjo bukan hanya anak sekolah yg dijanjikan tapi juga bayi balita jadi total aja sdiri brp banyak org yg dikasih mkn gratis tiap hari harusnya mikirin program yg bisa bikin masy berpenghasilan besar biar seluruh anggota keluarga bs makan enak bergizi,AmaSarenn,"['raharjo', 'bukan', 'hanya', 'anak', 'sekolah', 'yg', 'dijanjikan', 'tapi', 'juga', 'bayi', 'balita', 'jadi', 'total', 'aja', 'sdiri', 'brp', 'banyak', 'org', 'yg', 'dikasih', 'mkn', 'gratis', 'tiap', 'hari', 'harusnya', 'mikirin', 'program', 'yg', 'bisa', 'bikin', 'masy', 'berpenghasilan', 'besar', 'biar', 'seluruh', 'anggota', 'keluarga', 'bs', 'makan', 'enak', 'bergizi']",<FreqDist with 39 samples and 41 outcomes>,"['raharjo', 'anak', 'sekolah', 'dijanjikan', 'bayi', 'balita', 'total', 'sdiri', 'brp', 'org', 'dikasih', 'mkn', 'gratis', 'mikirin', 'program', 'masy', 'berpenghasilan', 'anggota', 'keluarga', 'bs', 'makan', 'enak', 'bergizi']","['raharjo', 'anak', 'sekolah', 'dijanjikan', 'bayi', 'balita', 'total', 'sdiri', 'brp', 'orang', 'dikasih', 'makan', 'gratis', 'mikirin', 'program', 'masy', 'berpenghasilan', 'anggota', 'keluarga', 'bisa', 'makan', 'enak', 'bergizi']","['raharjo', 'anak', 'sekolah', 'janji', 'bayi', 'balita', 'total', 'sdiri', 'brp', 'orang', 'kasih', 'makan', 'gratis', 'mikirin', 'program', 'masy', 'hasil', 'anggota', 'keluarga', 'bisa', 'makan', 'enak', 'gizi']"
8,9,saat ide pembagian susu dan makan siang bergizi gratis bagi siswa di tertawakan buzzer sebelah ntah karena tugas atau betulan kami para orang tua di negeri ini justru merasa itu program luar biasa yg sangat membantu mencetak generasi unggul salah satunya melalui asupan,BANGSAygSUJUD,"['saat', 'ide', 'pembagian', 'susu', 'dan', 'makan', 'siang', 'bergizi', 'gratis', 'bagi', 'siswa', 'di', 'tertawakan', 'buzzer', 'sebelah', 'ntah', 'karena', 'tugas', 'atau', 'betulan', 'kami', 'para', 'orang', 'tua', 'di', 'negeri', 'ini', 'justru', 'merasa', 'itu', 'program', 'luar', 'biasa', 'yg', 'sangat', 'membantu', 'mencetak', 'generasi', 'unggul', 'salah', 'satunya', 'melalui', 'asupan']",<FreqDist with 42 samples and 43 outcomes>,"['ide', 'pembagian', 'susu', 'makan', 'siang', 'bergizi', 'gratis', 'siswa', 'tertawakan', 'buzzer', 'sebelah', 'ntah', 'tugas', 'betulan', 'orang', 'tua', 'negeri', 'program', 'membantu', 'mencetak', 'generasi', 'unggul', 'salah', 'satunya', 'asupan']","['ide', 'pembagian', 'susu', 'makan', 'siang', 'bergizi', 'gratis', 'siswa', 'tertawakan', 'buzzer', 'sebelah', 'entah', 'tugas', 'betulan', 'orang', 'tua', 'negeri', 'program', 'membantu', 'mencetak', 'generasi', 'unggul', 'salah', 'satunya', 'asupan']","['ide', 'bagi', 'susu', 'makan', 'siang', 'gizi', 'gratis', 'siswa', 'tertawa', 'buzzer', 'belah', 'entah', 'tugas', 'betul', 'orang', 'tua', 'negeri', 'program', 'bantu', 'cetak', 'generasi', 'unggul', 'salah', 'satu', 'asupan']"
9,10,program makan siang gratis buat anak itu bisa jd sarana utk stabilitas ekonomi rumus gdp    xm kalo pengeluaran pemerintah besar dan rutin gdp jg akan stabil tugas kita tinggal ngawasin kualitas makanan yg diberikan harus bersih sehat bergizi amp bebas korupsi,RealKebenaran,"['program', 'makan', 'siang', 'gratis', 'buat', 'anak', 'itu', 'bisa', 'jd', 'sarana', 'utk', 'stabilitas', 'ekonomi', 'rumus', 'gdp', 'xm', 'kalo', 'pengeluaran', 'pemerintah', 'besar', 'dan', 'rutin', 'gdp', 'jg', 'akan', 'stabil', 'tugas', 'kita', 'tinggal', 'ngawasin', 'kualitas', 'makanan', 'yg', 'diberikan', 'harus', 'bersih', 'sehat', 'bergizi', 'amp', 'bebas', 'korupsi']",<FreqDist with 40 samples and 41 outcomes>,"['program', 'makan', 'siang', 'gratis', 'anak', 'sarana', 'stabilitas', 'ekonomi', 'rumus', 'gdp', 'xm', 'pengeluaran', 'pemerintah', 'rutin', 'gdp', 'jg', 'stabil', 'tugas', 'tinggal', 'ngawasin', 'kualitas', 'makanan', 'bersih', 'sehat', 'bergizi', 'bebas', 'korupsi']","['program', 'makan', 'siang', 'gratis', 'anak', 'sarana', 'stabilitas', 'ekonomi', 'rumus', 'gdp', 'xm', 'pengeluaran', 'pemerintah', 'rutin', 'gdp', 'juga', 'stabil', 'tugas', 'tinggal', 'ngawasin', 'kualitas', 'makanan', 'bersih', 'sehat', 'bergizi', 'bebas', 'korupsi']","['program', 'makan', 'siang', 'gratis', 'anak', 'sarana', 'stabilitas', 'ekonomi', 'rumus', 'gdp', 'xm', 'keluar', 'perintah', 'rutin', 'gdp', 'juga', 'stabil', 'tugas', 'tinggal', 'ngawasin', 'kualitas', 'makan', 'bersih', 'sehat', 'gizi', 'bebas', 'korupsi']"
10,11,pak sudah memikirkan kondisi sprt ini tuk janji kampanye ngasih makan gratis anak sekolah seluruh indonesia lagian makanan bergizi program stunting itu untuk ibu hamil bukan untuk anakanak,BosPurwa,"['pak', 'sudah', 'memikirkan', 'kondisi', 'sprt', 'ini', 'tuk', 'janji', 'kampanye', 'ngasih', 'makan', 'gratis', 'anak', 'sekolah', 'seluruh', 'indonesia', 'lagian', 'makanan', 'bergizi', 'program', 'stunting', 'itu', 'untuk', 'ibu', 'hamil', 'bukan', 'untuk', 'anakanak']",<FreqDist with 27 samples and 28 outcomes>,"['memikirkan', 'kondisi', 'sprt', 'tuk', 'janji', 'kampanye', 'ngasih', 'makan', 'gratis', 'anak', 'sekolah', 'indonesia', 'makanan', 'bergizi', 'program', 'stunting', 'hamil', 'anakanak']","['memikirkan', 'kondisi', 'sprt', 'tuk', 'janji', 'kampanye', 'ngasih', 'makan', 'gratis', 'anak', 'sekolah', 'indonesia', 'makanan', 'bergizi', 'program', 'stunting', 'hamil', 'anakanak']","['pikir', 'kondisi', 'sprt', 'tuk', 'janji', 'kampanye', 'ngasih', 'makan', 'gratis', 'anak', 'sekolah', 'indonesia', 'makan', 'gizi', 'program', 'stunting', 'hamil', 'anakanak']"
11,12,program makan siang dan susu gratis untuk murid indonesia keren banget ini pak tweet makanan dan minuman bergizi utk penerus bangsa adalah investasi terbesar justru program ini dapat dirasakan langsung oleh rakyat tagar adalah bentuk kepanikan,Aryolejandro,"['program', 'makan', 'siang', 'dan', 'susu', 'gratis', 'untuk', 'murid', 'indonesia', 'keren', 'banget', 'ini', 'pak', 'tweet', 'makanan', 'dan', 'minuman', 'bergizi', 'utk', 'penerus', 'bangsa', 'adalah', 'investasi', 'terbesar', 'justru', 'program', 'ini', 'dapat', 'dirasakan', 'langsung', 'oleh', 'rakyat', 'tagar', 'adalah', 'bentuk', 'kepanikan']",<FreqDist with 32 samples and 36 outcomes>,"['program', 'makan', 'siang', 'susu', 'gratis', 'murid', 'indonesia', 'keren', 'banget', 'tweet', 'makanan', 'minuman', 'bergizi', 'penerus', 'bangsa', 'investasi', 'terbesar', 'program', 'dirasakan', 'langsung', 'rakyat', 'tagar', 'bentuk', 'kepanikan']","['program', 'makan', 'siang', 'susu', 'gratis', 'siswa', 'indonesia', 'keren', 'sekali', 'tweet', 'makanan', 'minuman', 'bergizi', 'penerus', 'bangsa', 'investasi', 'terbesar', 'program', 'dirasakan', 'langsung', 'rakyat', 'tagar', 'bentuk', 'kepanikan']","['program', 'makan', 'siang', 'susu', 'gratis', 'siswa', 'indonesia', 'keren', 'sekali', 'tweet', 'makan', 'minum', 'gizi', 'terus', 'bangsa', 'investasi', 'besar', 'program', 'rasa', 'langsung', 'rakyat', 'tagar', 'bentuk', 'panik']"
