No;full_text;username
1;jelang lebaran perusahaan mulai booking bus untuk program mudik gratis;InfoMakan2
2;anggaran segitu aja masih banyak sekolah yang kurang dan minta tambahan dari orang tua untuk program makan siang gratis harus di mark up lebih banyak lagi tapi gw dulu sd pernah ada program snack bergizi gratis itu program gabungan dengan pkk setempat;dranux
3;keren sih ada program makan siang gratis kayak gini biar pertumbuhan dan perkembangan anak indo secara fisik jadi lebih baik kemampuan secara iq akan mengikuti krn asupan nutrisi bergizi yg cukup;nurmaphie
4;prabowo menunjukkan komitmen nyata pada masa depan dengan memberikan makan siang gratis yang bergizi untuk anakanak sekolah;rismamelatiku
5;program prabowo makan gratis kpd pelajar ibu hamil jumlah pelajar juta mari kita hitung biaya makan gratis bagi pelajar saja untuk  makan juta pelajar  rp ribu per porsi harga segitu dianggap sdh bergizi lengkap maka dlm sekali makan anggaran negara;narkosun
6;makanan gratis dan bergizi untuk ibuibu yang sedang hamil setiap tahun karena ini untuk memperkuat bayi dalam rahimnya semuanya juta jiwa katanya pak kencing aja bayar gimana ceritanya nih;wandystjk2
7;tapi memang agak aneh sih wacana makan gratis ini klo tujuannya mau mencegah stunting dengan membekali ibu hamil dan anak dengan makanan bergizi baiknya dikemas ulang deh narasinya jangan cuma sekedar nyebut program makan gratis;SulaimanMarbun
8;raharjo bukan hanya anak sekolah yg dijanjikan tapi juga bayi balita jadi total aja sdiri brp banyak org yg dikasih mkn gratis tiap hari harusnya mikirin program yg bisa bikin masy berpenghasilan besar biar seluruh anggota keluarga bs makan enak bergizi;AmaSarenn
9;saat ide pembagian susu dan makan siang bergizi gratis bagi siswa di tertawakan buzzer sebelah ntah karena tugas atau betulan kami para orang tua di negeri ini justru merasa itu program luar biasa yg sangat membantu mencetak generasi unggul salah satunya melalui asupan;BANGSAygSUJUD
10;program makan siang gratis buat anak itu bisa jd sarana utk stabilitas ekonomi rumus gdp    xm kalo pengeluaran pemerintah besar dan rutin gdp jg akan stabil tugas kita tinggal ngawasin kualitas makanan yg diberikan harus bersih sehat bergizi amp bebas korupsi;RealKebenaran
11;pak sudah memikirkan kondisi sprt ini tuk janji kampanye ngasih makan gratis anak sekolah seluruh indonesia lagian makanan bergizi program stunting itu untuk ibu hamil bukan untuk anakanak;BosPurwa
12;program makan siang dan susu gratis untuk murid indonesia keren banget ini pak tweet makanan dan minuman bergizi utk penerus bangsa adalah investasi terbesar justru program ini dapat dirasakan langsung oleh rakyat tagar adalah bentuk kepanikan;Aryolejandro
13;pak prabowo sangat support banget untuk anak bangsa indonesia oleh karna itu adanya program makan siang bergizi gratis ini menjadikan indonesia unggul dan kuat anakanak bangsa;harooaira
14;waduh kok ini sudah jalan ya program makan siang gratis dgn lauk pauk yg sangat bergizi di tangerang ini pasti terinspirasi dari yg punya program makan siang gratis nih;bumnbersatu
15;padahal yg diuntungkan nanti dr makan siang dan susu gratis adlh pihak ketiga perusahaan pengadaan ya ga sih syukur dapat makanan bergizi kawatirnya kayak program stunting di dpok anak dibagikan kuah sop parahnya kuahnya doang ga ada dagingnya;rinigrace
16;makan siang gratis sbv program pemerintah yg menawarkan nutrisi memainkan peran penting dlm membantu anak yg mungkin mengalami kekurangan gizi namunutk benar menekan stunting program ini perlu dikombinasikan dg upaya yg lebih luas dlm menyediakan akses ke makanan bergizi;Adrian_susiloo
17; program makan gratis kan kusus tuk anak sd bukan buat yg udah tua kek luanak itu perlu makan bergizi dimasa pertumbuhan;DewiPutriku06
18;tkd prabowogibran banten turun langsung laksanakan program makan siang bergizi dan susu gratis;Kabarpolitikcom
19;program makan siang dan susu gratis bagi siswa dan ibu hamil semoga makanan nya bergizi;fridanurisya
20;prabowo mengungkapkan program pemberian susu dan telor atau makanan bergizi tersebut sebagai upaya mengatasi masalah stunting dan angka kemiskinan dari akar masalahnya;agejncy
21;yakin semua mampu kasih makanan bergizi tinggi tiap hari agar anak kesehatan dan kecerdasannya top abis ntar pakai ahli gizi lho di program makan siang gratis tak asal kenyang tapi sehat cerdas ini baru program riil ini baru satu;BANGSAygSUJUD
22;maaf nih bkn mksd utk merendahkan program makan siangsusu gratis atasi stunting jika taraf hidup ekonomi para ortu meningkat spt pekerjaanupah yg layak sekolahampjamkes gratis rumah ga ngontrakmaka para orang tua dpt beri asupan makan bergizi pd anaknyato be continue;carlitovito180
23;program makan siang gratis sepertinya mengikuti prinsip kurangi potongan tingkatkan kreativitasnya juga nasi putih dan sosis memang tak tergantikan dalam menu bergizi rendah;AJavandalas
24;joee anies back semoga dg program makan siang bergizi dan susu gratis tidak ada lagi orang bodoh lagi membodohkan;BANGSAygSUJUD
25;tentu program makan siang gratis bagi siswa dengan makananmakanan bergizi prabowo subianto;mercifulove
26;id aku dukung program makan siang gratis dari prabowogibran biar anak indonesia terjamin dalam sehari dapet makanan bergizi;sassyyosie
27;program makan siang gratis dibedah dalam menit sama bang lagian yah makan gratis ini program yg absurd banget dan gak akan bisa dilaksanakan kalo tetep dipaksaain yg ada cm jd bahan bancakan doang alih anak dapet makanan bergizi yg ada bakalan dpt makanan basi;ariefrasyad
28;program makan siang gratis dapat membantu mengurangi ketidaksetaraan sosial dengan memberikan akses yang sama terhadap makanan yang bergizi kepada mereka yang mungkin membutuhkan bantuan ekstra;05_maryanne
29;jujur program makan siang gratis ini gue setuju bgt sih terutama buat anak sd yg butuh makanan sehat bergizi ya karna ga semua anak dibekelin makan banyaknya yg dikasih uang saku tapi pas istirahat belinya jajanan yg boro sehat kenyang aja engga;ishikawamore
30;rosiade program konyol makan siang gratis untuk mendapatkan proyek investasi apaan kek gitu kalau memang punya gagasan cukup menstabilkan harga pokok semua warga bisa membeli makan yg sehat menciptakan lapangan kerja semua org mendapatkan uang buat mmbeli kebutuhan yg bergizi;Syafridon8
31;baru sadar tujuan paslon buat program makan siang gratis yang bergizi untuk anak sekolah itu guna mempersiapkan anak bangsa biar gedenya ga tolol kaya razak ya guys;orangsixpack
32;mereka yang nyaris tidak pernah lapar akan sulit bayangkan dan rasakan kalau seseorang lagi lapar betulan rakyat miskin tentu setuju program makan siang gratis anak sekolah karena negara harus jamin rakyat nya tidak lapar minimal dalam hari ada makan yang bergizi;Gunto_Jaya9
33;dumdum agak dongo sih klo pilih yg hanya program demi makan gratis doang klo di teliti program itu bisa jd penghasilan yg uangnya dipakai beli makan siang yg lebih bergizi jd patut di retweet nih;Kata_baba_baim
34;program makan amp susu gratis yang konon untuk mengatasi gizi buruk ini program pembodohan secara terstruktural untuk mengatasi gizi buruk buka seluasluasnya akses pekerjaan sehingga semua keluarga ada penghasilan yg cukup untuk ngasi makan yg bergizi keluarganya;ebe_ganzo
35;makanya program makan siang bergizi gratis buat anak sekolah itu bagus biar otak juga ternutrisi dan tidak somplak seperti pendukung wan kentut;NKRITetapDiHati
36;program makan bergizi gratis uji coba anggaran rp ribu per porsi ditetapkan;pintasandotco
37;pemerintah memutuskan memangkas anggaran untuk program makan bergizi gratis anak dan ibu hamil dari rp menjadi rp per orang hal itu menurut ekonom tidak akan berdampak signifikan pada perekonomian asumsinya dengan anggaran rp ribu per orang keluarga yang;RadioElshinta
38;hasan nasbi tekankan program makan bergizi gratis anggaran rp per porsi itu cukup lewat news;keuangannews_id
39;melibatkan ibu adalah kunci keberhasilan program makan bergizi gratis;voiceofpkb
40;belajar dari brasil dalam program makan bergizi gratis;OposisiCerdas
41;kali ini program makan siang bergizi gratis digelar di sdn gintungkerta kecamatan klari;antmegapolitan
42;dalam rangka memberikan perlidungan dan jaminan sosial kepada penyandang disabilitas kementerian sosial pada tahun telah merencanakan empat program bagi penyandang disabilitas salah satunya program makan bergizi gratis dua kali sehari kepada ribu orang penyandang;RadioElshinta
43;makan bergizi gratis bukan sekadar program prabowogibran tahu makan bergizi adalah langkah awal melawan stunting tapi gimana caranya agar program ini tepat sasaran yuk bersamasama;ConversationIDN
44;hari ini kami simulasi program makan bergizi gratis di sdn anggadita  kali ini kami menyiapkan paket makanan untuk dibagikan;antmegapolitan
45;sambut prabowo di ntt warga kupang optimistis dengan program makan bergizi gratis kupang para masyarakat nusa tenggara timur ntt menyambut antusias kedatangan presiden ri prabowo subianto di kupang salah satu dari mereka pun mengaku optimistis dengan program makan bergizi;RadioElshinta
46;sejumlah perwakilan masyarakat yang menyambut antusias kedatangan presiden prabowo subianto di kupang selasa malam menyampaikan harapan besar terhadap program makan bergizi gratis mbg yang digagas presiden prabowo subianto untuk bisa segera dirasakan manfaatnya;99propaganda
47;warga kupang optimistis dengan program makan bergizi gratis yang digencarkan prabowo;Beritasatu
48;karangasem belum anggarkan program makan bergizi gratis untuk siswa;Beritasatu
49;kementerian sosial kemensos telah merencanakan empat program bagi penyandang disabilitas di dalam rangka memberikan perlindungan dan jaminan sosial kepada para difabel keempat program itu meliputi program makan bergizi gratis program keluarga harapan bantuan pangan non;RadioElshinta
50;kemenkop dorong penguatan peran koperasi dalam program makan bergizi gratis;Beritasatu
51;prabowo tak ambil pusing harga index saham turun dengan program makan bergizi gratis;Joglosemarnews
52;warga harap program makan bergizi gratis prabowo bisa bantu anakanak di ntt;holopiscom
53;ketika tni au turun ikut sukseskan program makan bergizi gratis;VIVAcoid
54;prabowo diancamancam jalankan program rakyat termasuk makan bergizi gratis;holopiscom
55;badan pangan nasional bapanas melaksanakan kajian untuk menentukan menu program makan bergizi gratis mbg sesuai dengan potensi bahan pangan yang diproduksi di setiap daerah di indonesia berikut daftar menu makan bergizi gratis di berbagai daerah;kumparan
56;polda kepri bersinergi laksanakan rapat koordinasi sukseskan program makan bergizi gratis polisi indonesia polisi;poldakeprihumas
57;pgn dukung program makan bergizi gratis negara;InilahMojokerto
58;pulang dari luar negeri setelah lawatan sejak november presiden prabowo subianto membawa komitmen sejumlah negara untuk mewujudkan program makan bergizi gratis;Tempo_Plus
59;pemprov lampung harap program makan bergizi gratis tingkatkan ekonomi lokal;kupastuntasnew
60;fpks dukung one day one fish untuk program makan bergizi gratis riyono anggota komisi iv dpr ri dari fpks;FPKSDPRRI
61;tvrinews yogyakarta pemerintah kabupaten pemkab kulonprogo mengalokasikan anggaran sebesar miliar rupiah untuk program makan bergizi gratis pada tahun mendatang alokasi ini diambil dari pendapatan asli daerah termasuk menotong sejumlah anggaran untuk berbagai;tvriyogyakarta
