No,Nama Media,Penanggung Jawab,Alamat Media,Provinsi,Badan Hukum,Status
1,Haluan Riau,Doni Rahim,Gedung Riau Pers  Jl. Tuanku Tambusai No. 7 RT 001 RW 001 Kelurahan Tangkerang Barat Kecamatan Marpoyan Damai,Riau,Media Haluan Mandiri,Terverifikasi Faktual
2,Tribun Batam,Harismanto,"Komplek MCP Jl. Kerapu  kelurahan tanjung sengkuang kec.Batu Ampar, Batam Kepulauan Riau,",Kepulauan Riau,Tribun media grafika,Terverifikasi Administratif
3,Bengkulu Ekspres,Suherdi Marabillie,Graha Bengkulu Ekspress Jl. Jati No. 129 Simpang Skip Kota Bengkulu,Bengkulu,Media Bengkulu Ekspress,Terverifikasi Faktual
4,Sumatera Ekspres,Martha Hendratmo,"Gedung Graha Pena Palembang, Jl. Kol. H. Burhan No.773, Palembang",Sumatera Selatan,Citra Bumi Sumatera,Terverifikasi Faktual
5,Media Indonesia,Abdul Kohar,"Kompleks Delta Kedoya, Jl. Pilar Raya Kav. A-D Kedoya Selatan, Kebon Jeruk, Jakarta Barat 11520",DKI Jakarta,Citra Media Nusa Purnama,Terverifikasi Faktual
6,Harian Jogja,ANTON WAHYU PRIHARTONO,"Jl. AM. Sangaji No. 41, Cokrodiningratan, Jetis, Yogyakarta 55233",DI Yogyakarta,AKSARA DINAMIKA JOGJA,Terverifikasi Faktual
7,Kaltim Post,Romdani,"Gedung Biru, Jl. Soekarno Hatta Km. 3,5 No. 64, Balikpapan 76126.",Kalimantan Timur,Duta Manuntung,Terverifikasi Faktual
8,Solopos,Rini Yustiningsih,"Griya Solopos, Jl. Adi Sucipto No. 90, Solo 57145",Jawa Tengah,Aksara Solopos,Terverifikasi Faktual
9,LKBN Antara,-,-,DKI Jakarta,PT. Perum LKBN ANTARA,Terverifikasi Faktual
10,RRI,-,-,DKI Jakarta,LPP Lembaga RRI,Terverifikasi Faktual
11,TVRI,-,-,DKI Jakarta,LPP TVRI,Terverifikasi Faktual
12,Batam Pos,Raden Yusuf Hidayat,"Komplek Orchard Walk Blok H No. 1, Batam Center",Kepulauan Riau,Sijori Interbintana Pers,Terverifikasi Faktual
13,METROJAMBI.COM,-,-,Jambi,PT. METRO JAMBI DIGITAL,Terverifikasi Faktual
14,Radar Bengkulu,-,-,Bengkulu,PT. Wahana Semesta Radar Kota Bengkulu,Terverifikasi Faktual
15,Gosumut.com,-,-,Sumatera Utara,PT. GUDANG INFORMASI SUMATERA UTARA,Terverifikasi Faktual
16,tribunnews.com,-,-,DKI Jakarta,PT. Tribun Digital Online,Terverifikasi Faktual
17,SKH Cenderawasih Pos,Lucky Ireeuw,"Jl. Balai Kota No. 7, Entrop Jayapura, Kotak Pos 1377",Papua,Cendrawasih Arena Intim Press,Terverifikasi Faktual
18,Tribun Timur,Nur Thamsil Thahir,Jalan cendrawasih no 430,Sulawesi Selatan,Bosowa Media Grafika,Terverifikasi Faktual
19,timesindonesia.co.id,Yatimul Ainun,"Jl. Ijen No. 90-92, RT. 006, RW.005, Kelurahan Oro-oro Dowo, Kecamatan Klojen, Kota Malang, Jawa Timur",Jawa Timur,Dawai Citra Semesta,Terverifikasi Faktual
20,jurnas.com,Rusman,"Jalan Tebet Barat Dalam 2F Nomor, 16A, Tebet Barat, ",DKI Jakarta,Media Bangsa Bersatu,Terverifikasi Faktual
21,Kapanlagi.com,Darojatun,Pondok Blimbing Indah A1-3 No 7 Rt 007/ Rw 05 Kel Polowijen Kec Blimbing Malang ,Jawa Timur,Kapanlagi Dot Com Networks,Terverifikasi Faktual
22,liputan6.com,Elin Yunita Kristanti,"Gedung Kapanlagi Youniverse (KLY) Jl. RP Soeroso No.18 Menteng, Gondangdia",DKI Jakarta,Liputan enam dot com,Terverifikasi Faktual
23,merdeka.com,Darojatun,"Jl. Tebet Barat IV Nomor. 3, RT 16 RW 4, Kelurahan Tebet Barat, Kecamatan Tebet, Kota Jakarta Selatan",DKI Jakarta,Kapan Lagi Dot Com Networks,Terverifikasi Faktual
24,Jambi TV,Mukhtadi P,Jl. Pattimura No 35 D Km 8 RT 16 RW 00 Kelurahan Kenali Besar Kecamatan Alam Barajo Kota Jambi,Jambi,Jambi Televisi,Terverifikasi Administratif
25,TRANS7,Manyus,"Menara Bank Mega, Jl. Kapten P. Tendean Kav.12-14A, Kelurahan Mampang Prapatan, Kecamatan Mampang Prapatan",DKI Jakarta,Duta Visual Nusantara Tivi Tujuh,Terverifikasi Faktual
26,Metro TV,Nunung Setiyani,"Jl Pilar Mas Raya Kav. A-D, Kedoya -Kebon Jeruk Jakarta 11520",DKI Jakarta,Media Televisi Indonesia,Terverifikasi Faktual
27,Radio Elshinta,Haryo Ristamaji,"Jl. Raya Joglo No. 70, Jakarta 11640",DKI Jakarta,Radio Elshinta ,Terverifikasi Faktual
28,CTV,Hendra Napitupulu,"Jl. Wana Mulya No.7 Rt 003 Rw 007 Kel  Karang Mulya, Kec  Karang Tengah, Kota Tangerang, Prov Banten",Banten, Cahaya televisi indonesia,Terverifikasi Faktual
29,kabarmakassar.com,Uslimin,"Bikin Bikin Creative Hub, Nipah Park Lantai 1 Nomor 2, Jalan Urip Sumoharjo, RT. 001/RW. 001, Kelurahan Panaikang, Kecamatan Panakkukang",Sulawesi Selatan,Kabar Grup Indonesia,Terverifikasi Faktual
30,Rilis.id,Segan Petrus Simanjuntak,Jl. Sisingamangaraja LK II RT. 03 RW. 05 Kel Kelapa Tiga Permai Kec. Tanjungkarang Barat Kota Bandar Lampung,Lampung,Rilis Multimedia Indonesia,Terverifikasi Faktual
31,DAAI TV,Ronny Rusdiyanto,"Tzu Chi Center, Tower 2, Lantai 3, Jl. Boulevard Pantai Indah KapukJakarta Utara 14470, Indonesia",DKI Jakarta,Duta Anugerah Indah,Terverifikasi Faktual
32,sumselupdate.com,Henny Primasari,"Jl. Sukabangun 2, Lorong Kaur, RT 63 RW 09, Kelurahan Sukajaya, Kecamatan Sukarami, Kota Palembang",Sumatera Selatan,Berdikari Sukses Multimedia,Terverifikasi Faktual
33,tribunnews.com,Domuara Ambarita,"Gedung Group of Regional Newspaper Kompas Gramedia, Jl Palmerah Selatan No 3, Jakarta PusatTelp. 021-5359525-23",DKI Jakarta,Tribun Digital Online,Terverifikasi Faktual
34,KabarMedan.com,Agus Salim,"Jl. Sunggal, Komplek Sunggal Mas Blok B No. 16",Sumatera Utara,Kabar Medan Global,Terverifikasi Faktual
35,riaumandiri.co,Doni Rahim,Jalan Tuanku Tambusai Nomor 7 RT 001 RW 001 Kelurahan Tangkerang Barat Kecamatan Marpoyan Damai,Riau,Media Riau Mandiri,Terverifikasi Faktual
36,Orbit,Gusliadi Ritonga,Jl. Asmara Gedung Bumi Jurnalis Komplek Bumi Asri Blok C No. 61 - 62 Medan,Sumatera Utara,Suara Barisan Hijau,Terverifikasi Faktual
37,telusur.co.id,Fahri,"Infiniti Office MTH Square Ground Floor, Jl. MT. Haryono Kav 10 Blok A4 No.A",DKI Jakarta,Telusur Info Media,Terverifikasi Faktual
38,RB TV,Purnama Sakti ,Jl. P. Natadirja No. 69 Km 7 Kelurahan Jalan Gedang Kota Bengkulu,Bengkulu,Wahana Semesta Bengkulu Televisi ,Terverifikasi Faktual
39,Jawapos TV,Sofyan Hendra Fatkhurohman,"Jl Polda No 88 Mayabon, Banjarsari, Cipocok Jaya, Serang, Banten",Banten,Wahana Televisi Banten,Terverifikasi Faktual
40,koranperbatasan.com,Amran,JL. Muhammad Yusuf RT 04 RW 03 Kelurahan Ranai Kecamatan Bunguran Timur Kabupaten Natuna Provinsi Kepri,Kepulauan Riau,Tuah Tinta Jaya Abadi,Terverifikasi Administratif
41,Sumateranews.co.id,Donni,"Jl. Krakatau No 49 Kel. Gunung Ibul Kec. Prabumulih Timur Kota Prabumulih, RT 23 RW 08 Palembang",Sumatera Selatan,PT HUSNUL SUMATERA NEWS,Terverifikasi Administratif
42,mediaadvokasi.com,Saidiono,Jl. Pipa Lebong Siareng No.3832,Sumatera Selatan,Pahri Bersaudara Bersatu,Terverifikasi Faktual
43,hargo.co.id,Jitro Paputungan,"Graha Pena Gorontalo, Jalan John Aryo Katili, Nomor 144, Kelurahan Paguyaman, Kec. Kota Tengah, Kota Gorontalo, Provinsi Gorontalo.",Gorontalo,Gorontalo Media Cemerlang,Terverifikasi Faktual
44,www.silabusnews.com,Descrates. P,"Jl. Merdeka No.12 A, Tanjung Uban, Bintan, Kepri.",Kepulauan Riau,PT BINTAN SIBER MANDIRI,Terverifikasi Administratif
45,fornews.co,Romi Maradona,"Jalan Volley G 8, Kelurahan Lorok Pakjo, Kecamatan Ilir Barat I",Sumatera Selatan,Sentral Informasi Berdaya,Terverifikasi Administratif
46,www.bangunpiaman.com,Ikhlas Bakri,"Jln.Koto Mambang-Tandikat, Km 01, Korong Kampuang Tangah  Nagari Kampuang Tanjuang Koto Mambang Sungai Durian Kecamatan Patamuan Kabupaten Padang Pariaman",Sumatera Barat,PT.Bangun Piaman Mediatama,Terverifikasi Administratif
47,JATIMNOW.COM,Rois Jajeli,"Jalan Jimerto 17A, Surabaya",Jawa Timur,Media Jatim Bersama,Terverifikasi Faktual
