No,full_text,username,tweet_tokens_stemmed,n_token,n_token_unik,entropy_bit,entropy_max,entropy_norm
1,anggaran segitu aja masih banyak sekolah yang kurang dan minta tambahan dari orang tua untuk program makan siang gratis harus di mark up lebih banyak lagi tapi gw dulu sd pernah ada program snack bergizi gratis itu program gabungan dengan pkk setempat,dranux,"['anggar', 'segitu', 'sekolah', 'tambah', 'orang', 'tua', 'program', 'makan', 'siang', 'gratis', 'mark', 'atas', 'aku', 'sd', 'program', 'snack', 'gizi', 'gratis', 'program', 'gabung', 'pkk']",21,18,4.07065611312596,4.169925001442312,0.976194
2,keren sih ada program makan siang gratis kayak gini biar pertumbuhan dan perkembangan anak indo secara fisik jadi lebih baik kemampuan secara iq akan mengikuti krn asupan nutrisi bergizi yg cukup,nurmaphie,"['keren', 'program', 'makan', 'siang', 'gratis', 'seperti', 'gin', 'tumbuh', 'kembang', 'anak', 'indonesia', 'fisik', 'mampu', 'iq', 'ikut', 'asupan', 'nutrisi', 'gizi']",18,18,4.169925001416344,4.169925001442312,1.0
3,prabowo menunjukkan komitmen nyata pada masa depan dengan memberikan makan siang gratis yang bergizi untuk anakanak sekolah,rismamelatiku,"['prabowo', 'komitmen', 'nyata', 'makan', 'siang', 'gratis', 'gizi', 'anakanak', 'sekolah']",9,9,3.169925001429328,3.169925001442312,1.0
4,program prabowo makan gratis kpd pelajar ibu hamil jumlah pelajar juta mari kita hitung biaya makan gratis bagi pelajar saja untuk  makan juta pelajar  rp ribu per porsi harga segitu dianggap sdh bergizi lengkap maka dlm sekali makan anggaran negara,narkosun,"['program', 'prabowo', 'makan', 'gratis', 'kpd', 'ajar', 'hamil', 'ajar', 'juta', 'mari', 'hitung', 'biaya', 'makan', 'gratis', 'ajar', 'makan', 'juta', 'ajar', 'rp', 'ribu', 'porsi', 'harga', 'segitu', 'anggap', 'gizi', 'lengkap', 'dalam', 'makan', 'anggar', 'negara']",30,22,4.240223928910113,4.459431618637297,0.950844
5,makanan gratis dan bergizi untuk ibuibu yang sedang hamil setiap tahun karena ini untuk memperkuat bayi dalam rahimnya semuanya juta jiwa katanya pak kencing aja bayar gimana ceritanya nih,wandystjk2,"['makan', 'gratis', 'gizi', 'ibuibu', 'hamil', 'kuat', 'bayi', 'rahim', 'juta', 'jiwa', 'kencing', 'bayar', 'gimana', 'cerita']",14,14,3.807354922037407,3.807354922057604,1.0
6,tapi memang agak aneh sih wacana makan gratis ini klo tujuannya mau mencegah stunting dengan membekali ibu hamil dan anak dengan makanan bergizi baiknya dikemas ulang deh narasinya jangan cuma sekedar nyebut program makan gratis,SulaimanMarbun,"['aneh', 'wacana', 'makan', 'gratis', 'tuju', 'cegah', 'stunting', 'bekal', 'hamil', 'anak', 'makan', 'gizi', 'baik', 'kemas', 'ulang', 'deh', 'narasi', 'dar', 'nyebut', 'program', 'makan', 'gratis']",22,19,4.152391277602456,4.247927513443585,0.97751
7,raharjo bukan hanya anak sekolah yg dijanjikan tapi juga bayi balita jadi total aja sdiri brp banyak org yg dikasih mkn gratis tiap hari harusnya mikirin program yg bisa bikin masy berpenghasilan besar biar seluruh anggota keluarga bs makan enak bergizi,AmaSarenn,"['raharjo', 'anak', 'sekolah', 'janji', 'bayi', 'balita', 'total', 'sdiri', 'brp', 'orang', 'kasih', 'makan', 'gratis', 'mikirin', 'program', 'masy', 'hasil', 'anggota', 'keluarga', 'bisa', 'makan', 'enak', 'gizi']",23,22,4.436605434286142,4.459431618637297,0.994881
8,saat ide pembagian susu dan makan siang bergizi gratis bagi siswa di tertawakan buzzer sebelah ntah karena tugas atau betulan kami para orang tua di negeri ini justru merasa itu program luar biasa yg sangat membantu mencetak generasi unggul salah satunya melalui asupan,BANGSAygSUJUD,"['ide', 'bagi', 'susu', 'makan', 'siang', 'gizi', 'gratis', 'siswa', 'tertawa', 'buzzer', 'belah', 'entah', 'tugas', 'betul', 'orang', 'tua', 'negeri', 'program', 'bantu', 'cetak', 'generasi', 'unggul', 'salah', 'satu', 'asupan']",25,25,4.643856189738657,4.643856189774724,1.0
9,program makan siang gratis buat anak itu bisa jd sarana utk stabilitas ekonomi rumus gdp    xm kalo pengeluaran pemerintah besar dan rutin gdp jg akan stabil tugas kita tinggal ngawasin kualitas makanan yg diberikan harus bersih sehat bergizi amp bebas korupsi,RealKebenaran,"['program', 'makan', 'siang', 'gratis', 'anak', 'sarana', 'stabilitas', 'ekonomi', 'rumus', 'gdp', 'xm', 'keluar', 'perintah', 'rutin', 'gdp', 'juga', 'stabil', 'tugas', 'tinggal', 'ngawasin', 'kualitas', 'makan', 'bersih', 'sehat', 'gizi', 'bebas', 'korupsi']",27,25,4.606739353979253,4.643856189774724,0.992007
10,pak sudah memikirkan kondisi sprt ini tuk janji kampanye ngasih makan gratis anak sekolah seluruh indonesia lagian makanan bergizi program stunting itu untuk ibu hamil bukan untuk anakanak,BosPurwa,"['pikir', 'kondisi', 'sprt', 'tuk', 'janji', 'kampanye', 'ngasih', 'makan', 'gratis', 'anak', 'sekolah', 'indonesia', 'makan', 'gizi', 'program', 'stunting', 'hamil', 'anakanak']",18,17,4.058813890306675,4.087462841250339,0.992991
11,program makan siang dan susu gratis untuk murid indonesia keren banget ini pak tweet makanan dan minuman bergizi utk penerus bangsa adalah investasi terbesar justru program ini dapat dirasakan langsung oleh rakyat tagar adalah bentuk kepanikan,Aryolejandro,"['program', 'makan', 'siang', 'susu', 'gratis', 'siswa', 'indonesia', 'keren', 'sekali', 'tweet', 'makan', 'minum', 'gizi', 'terus', 'bangsa', 'investasi', 'besar', 'program', 'rasa', 'langsung', 'rakyat', 'tagar', 'bentuk', 'panik']",24,22,4.418295834022749,4.459431618637297,0.990776
12,pak prabowo sangat support banget untuk anak bangsa indonesia oleh karna itu adanya program makan siang bergizi gratis ini menjadikan indonesia unggul dan kuat anakanak bangsa,harooaira,"['prabowo', 'dukung', 'sekali', 'anak', 'bangsa', 'indonesia', 'karena', 'program', 'makan', 'siang', 'gizi', 'gratis', 'jadi', 'indonesia', 'unggul', 'kuat', 'anakanak', 'bangsa']",18,16,3.947702779197007,4.0,0.986926
13,waduh kok ini sudah jalan ya program makan siang gratis dgn lauk pauk yg sangat bergizi di tangerang ini pasti terinspirasi dari yg punya program makan siang gratis nih,bumnbersatu,"['jalan', 'program', 'makan', 'siang', 'gratis', 'lauk', 'pauk', 'gizi', 'tangerang', 'inspirasi', 'program', 'makan', 'siang', 'gratis']",14,10,3.235926350614606,3.321928094887362,0.974111
14,padahal yg diuntungkan nanti dr makan siang dan susu gratis adlh pihak ketiga perusahaan pengadaan ya ga sih syukur dapat makanan bergizi kawatirnya kayak program stunting di dpok anak dibagikan kuah sop parahnya kuahnya doang ga ada dagingnya,rinigrace,"['untung', 'dari', 'makan', 'siang', 'susu', 'gratis', 'adalah', 'tiga', 'usaha', 'ada', 'syukur', 'makan', 'gizi', 'kawatirnya', 'seperti', 'program', 'stunting', 'dpok', 'anak', 'bagi', 'kuah', 'sop', 'parah', 'kuah', 'doang', 'daging']",26,24,4.546593564260315,4.584962500721156,0.991632
15,makan siang gratis sbv program pemerintah yg menawarkan nutrisi memainkan peran penting dlm membantu anak yg mungkin mengalami kekurangan gizi namunutk benar menekan stunting program ini perlu dikombinasikan dg upaya yg lebih luas dlm menyediakan akses ke makanan bergizi,Adrian_susiloo,"['makan', 'siang', 'gratis', 'sbv', 'program', 'perintah', 'tawar', 'nutrisi', 'main', 'peran', 'dalam', 'bantu', 'anak', 'alami', 'kurang', 'gizi', 'namunutk', 'tekan', 'stunting', 'program', 'kombinasi', 'upaya', 'luas', 'dalam', 'sedia', 'akses', 'makan', 'gizi']",28,24,4.521640636308693,4.584962500721156,0.986189
