token,frekuensi,prob,H_kontribusi
gizi,580,0.06854172,0.26504217
makan,550,0.06499645,0.2563132
program,488,0.05766958,0.23737063
gratis,468,0.05530607,0.2309813
mbg,232,0.02741669,0.14225976
anak,81,0.00957221,0.06420014
indonesia,67,0.00791775,0.05527139
prabowo,64,0.00756322,0.0532964
sekolah,60,0.00709052,0.05062557
perintah,56,0.00661782,0.04790924
dukung,55,0.00649965,0.04722268
sehat,49,0.00579059,0.04303611
tingkat,49,0.00579059,0.04303611
siswa,45,0.00531789,0.0401763
presiden,44,0.00519972,0.03945208
jalan,42,0.00496337,0.03799191
penuh,42,0.00496337,0.03799191
anggar,40,0.00472701,0.0365155
laksana,40,0.00472701,0.0365155
nyata,39,0.00460884,0.03577096
siang,37,0.00437249,0.03426864
generasi,36,0.00425431,0.03351062
nasional,36,0.00425431,0.03351062
ajar,34,0.00401796,0.03198025
masyarakat,34,0.00401796,0.03198025
kuat,33,0.00389979,0.03120761
ekonomi,32,0.00378161,0.03042981
subianto,32,0.00378161,0.03042981
bgn,32,0.00378161,0.03042981
dapur,32,0.00378161,0.03042981
manfaat,31,0.00366344,0.02964668
anakanak,30,0.00354526,0.02885804
badan,29,0.00342709,0.02806373
kualitas,28,0.00330891,0.02726353
butuh,27,0.00319074,0.02645724
pangan,27,0.00319074,0.02645724
sppg,26,0.00307256,0.02564464
terima,26,0.00307256,0.02564464
negara,25,0.00295438,0.02482548
bangsa,24,0.00283621,0.02399949
juta,23,0.00271803,0.0231664
rp,23,0.00271803,0.0231664
bantu,23,0.00271803,0.0231664
dampak,22,0.00259986,0.0223259
distribusi,22,0.00259986,0.0223259
kerja,21,0.00248168,0.02147764
daerah,21,0.00248168,0.02147764
didik,21,0.00248168,0.02147764
uang,20,0.00236351,0.02062126
desa,20,0.00236351,0.02062126
hadir,20,0.00236351,0.02062126
kepala,20,0.00236351,0.02062126
ribu,19,0.00224533,0.01975635
hasil,19,0.00224533,0.01975635
langsung,19,0.00224533,0.01975635
rakyat,19,0.00224533,0.01975635
sasar,19,0.00224533,0.01975635
harap,19,0.00224533,0.01975635
mobil,19,0.00224533,0.01975635
orang,18,0.00212716,0.01888247
dorong,18,0.00212716,0.01888247
layan,18,0.00212716,0.01888247
tumbuh,17,0.00200898,0.01799911
warga,17,0.00200898,0.01799911
langkah,17,0.00200898,0.01799911
fokus,17,0.00200898,0.01799911
jakarta,17,0.00200898,0.01799911
jangkau,17,0.00200898,0.01799911
kabupaten,16,0.00189081,0.01710571
capai,16,0.00189081,0.01710571
susu,15,0.00177263,0.01620165
salah,15,0.00177263,0.01620165
satu,15,0.00177263,0.01620165
menu,15,0.00177263,0.01620165
racun,15,0.00177263,0.01620165
luas,14,0.00165446,0.01528622
cerdas,14,0.00165446,0.01528622
aman,14,0.00165446,0.01528622
tinjau,14,0.00165446,0.01528622
prioritas,14,0.00165446,0.01528622
bangun,14,0.00165446,0.01528622
bukti,14,0.00165446,0.01528622
dad,14,0.00165446,0.01528622
jaga,14,0.00165446,0.01528622
mari,13,0.00153628,0.0143586
baik,13,0.00153628,0.0143586
kasih,13,0.00153628,0.0143586
negeri,13,0.00153628,0.0143586
buka,13,0.00153628,0.0143586
sdn,13,0.00153628,0.0143586
lanjut,13,0.00153628,0.0143586
sebut,13,0.00153628,0.0143586
daya,13,0.00153628,0.0143586
guru,13,0.00153628,0.0143586
asupan,12,0.0014181,0.01341785
nutrisi,12,0.0014181,0.01341785
hamil,12,0.0014181,0.01341785
lengkap,12,0.0014181,0.01341785
sosial,12,0.0014181,0.01341785
cipta,12,0.0014181,0.01341785
lapang,12,0.0014181,0.01341785
uji,12,0.0014181,0.01341785
semangat,12,0.0014181,0.01341785
awas,12,0.0014181,0.01341785
korban,12,0.0014181,0.01341785
hindayana,12,0.0014181,0.01341785
evaluasi,12,0.0014181,0.01341785
standar,12,0.0014181,0.01341785
porsi,11,0.00129993,0.01246288
tuju,11,0.00129993,0.01246288
stunting,11,0.00129993,0.01246288
