No;full_text;username;tweet_normalized;skor_total;skor_positif;skor_negatif;n_match;n_total;kata_match;sentimen
1;anggaran segitu aja masih banyak sekolah yang kurang dan minta tambahan dari orang tua untuk program makan siang gratis harus di mark up lebih banyak lagi tapi gw dulu sd pernah ada program snack bergizi gratis itu program gabungan dengan pkk setempat;dranux;['anggaran', 'segitu', 'sekolah', 'tambahan', 'orang', 'tua', 'program', 'makan', 'siang', 'gratis', 'mark', 'atas', 'aku', 'sd', 'program', 'snack', 'bergizi', 'gratis', 'program', 'gabungan', 'pkk'];3.0;19.0;-16.0;10;21;[('segitu', -3.0), ('sekolah', 3.0), ('tambahan', 5.0), ('tua', -4.0), ('makan', 1.0), ('gratis', 4.0), ('atas', -4.0), ('aku', 2.0), ('gratis', 4.0), ('gabungan', -5.0)];Positif
2;keren sih ada program makan siang gratis kayak gini biar pertumbuhan dan perkembangan anak indo secara fisik jadi lebih baik kemampuan secara iq akan mengikuti krn asupan nutrisi bergizi yg cukup;nurmaphie;['keren', 'program', 'makan', 'siang', 'gratis', 'seperti', 'gini', 'pertumbuhan', 'perkembangan', 'anak', 'indonesia', 'fisik', 'kemampuan', 'iq', 'mengikuti', 'asupan', 'nutrisi', 'bergizi'];4.0;12.0;-8.0;7;18;[('makan', 1.0), ('gratis', 4.0), ('seperti', -1.0), ('perkembangan', -4.0), ('anak', -3.0), ('kemampuan', 4.0), ('mengikuti', 3.0)];Positif
3;prabowo menunjukkan komitmen nyata pada masa depan dengan memberikan makan siang gratis yang bergizi untuk anakanak sekolah;rismamelatiku;['prabowo', 'komitmen', 'nyata', 'makan', 'siang', 'gratis', 'bergizi', 'anakanak', 'sekolah'];12.0;12.0;0.0;4;9;[('nyata', 4.0), ('makan', 1.0), ('gratis', 4.0), ('sekolah', 3.0)];Positif
4;program prabowo makan gratis kpd pelajar ibu hamil jumlah pelajar juta mari kita hitung biaya makan gratis bagi pelajar saja untuk  makan juta pelajar  rp ribu per porsi harga segitu dianggap sdh bergizi lengkap maka dlm sekali makan anggaran negara;narkosun;['program', 'prabowo', 'makan', 'gratis', 'kpd', 'pelajar', 'hamil', 'pelajar', 'juta', 'mari', 'hitung', 'biaya', 'makan', 'gratis', 'pelajar', 'makan', 'juta', 'pelajar', 'rp', 'ribu', 'porsi', 'harga', 'segitu', 'dianggap', 'bergizi', 'lengkap', 'dalam', 'makan', 'anggaran', 'negara'];24.0;35.0;-11.0;20;30;[('makan', 1.0), ('gratis', 4.0), ('pelajar', 1.0), ('hamil', -5.0), ('pelajar', 1.0), ('juta', 2.0), ('mari', 4.0), ('hitung', 1.0), ('makan', 1.0), ('gratis', 4.0), ('pelajar', 1.0), ('makan', 1.0), ('juta', 2.0), ('pelajar', 1.0), ('porsi', 4.0), ('harga', 3.0), ('segitu', -3.0), ('lengkap', -3.0), ('dalam', 3.0), ('makan', 1.0)];Positif
5;makanan gratis dan bergizi untuk ibuibu yang sedang hamil setiap tahun karena ini untuk memperkuat bayi dalam rahimnya semuanya juta jiwa katanya pak kencing aja bayar gimana ceritanya nih;wandystjk2;['makanan', 'gratis', 'bergizi', 'ibuibu', 'hamil', 'memperkuat', 'bayi', 'rahimnya', 'juta', 'jiwa', 'kencing', 'bayar', 'gimana', 'ceritanya'];0.0;14.0;-14.0;9;14;[('makanan', 3.0), ('gratis', 4.0), ('hamil', -5.0), ('memperkuat', 3.0), ('bayi', -3.0), ('juta', 2.0), ('kencing', -3.0), ('bayar', -3.0), ('ceritanya', 2.0)];Netral
6;tapi memang agak aneh sih wacana makan gratis ini klo tujuannya mau mencegah stunting dengan membekali ibu hamil dan anak dengan makanan bergizi baiknya dikemas ulang deh narasinya jangan cuma sekedar nyebut program makan gratis;SulaimanMarbun;['aneh', 'wacana', 'makan', 'gratis', 'tujuannya', 'mencegah', 'stunting', 'membekali', 'hamil', 'anak', 'makanan', 'bergizi', 'baiknya', 'dikemas', 'ulang', 'deh', 'narasinya', 'sekedar', 'nyebut', 'program', 'makan', 'gratis'];-1.0;18.0;-19.0;12;22;[('aneh', 4.0), ('wacana', -3.0), ('makan', 1.0), ('gratis', 4.0), ('mencegah', -5.0), ('hamil', -5.0), ('anak', -3.0), ('makanan', 3.0), ('baiknya', 1.0), ('nyebut', -3.0), ('makan', 1.0), ('gratis', 4.0)];Negatif
7;raharjo bukan hanya anak sekolah yg dijanjikan tapi juga bayi balita jadi total aja sdiri brp banyak org yg dikasih mkn gratis tiap hari harusnya mikirin program yg bisa bikin masy berpenghasilan besar biar seluruh anggota keluarga bs makan enak bergizi;AmaSarenn;['raharjo', 'anak', 'sekolah', 'dijanjikan', 'bayi', 'balita', 'total', 'sdiri', 'brp', 'orang', 'dikasih', 'makan', 'gratis', 'mikirin', 'program', 'masy', 'berpenghasilan', 'anggota', 'keluarga', 'bisa', 'makan', 'enak', 'bergizi'];8.0;20.0;-12.0;11;23;[('anak', -3.0), ('sekolah', 3.0), ('bayi', -3.0), ('dikasih', 2.0), ('makan', 1.0), ('gratis', 4.0), ('mikirin', -3.0), ('anggota', -3.0), ('keluarga', 4.0), ('makan', 1.0), ('enak', 5.0)];Positif
8;saat ide pembagian susu dan makan siang bergizi gratis bagi siswa di tertawakan buzzer sebelah ntah karena tugas atau betulan kami para orang tua di negeri ini justru merasa itu program luar biasa yg sangat membantu mencetak generasi unggul salah satunya melalui asupan;BANGSAygSUJUD;['ide', 'pembagian', 'susu', 'makan', 'siang', 'bergizi', 'gratis', 'siswa', 'tertawakan', 'buzzer', 'sebelah', 'entah', 'tugas', 'betulan', 'orang', 'tua', 'negeri', 'program', 'membantu', 'mencetak', 'generasi', 'unggul', 'salah', 'satunya', 'asupan'];-16.0;12.0;-28.0;12;25;[('susu', -4.0), ('makan', 1.0), ('gratis', 4.0), ('siswa', 3.0), ('sebelah', -4.0), ('entah', -3.0), ('tugas', -1.0), ('tua', -4.0), ('membantu', 4.0), ('mencetak', -5.0), ('generasi', -3.0), ('salah', -4.0)];Negatif
9;program makan siang gratis buat anak itu bisa jd sarana utk stabilitas ekonomi rumus gdp    xm kalo pengeluaran pemerintah besar dan rutin gdp jg akan stabil tugas kita tinggal ngawasin kualitas makanan yg diberikan harus bersih sehat bergizi amp bebas korupsi;RealKebenaran;['program', 'makan', 'siang', 'gratis', 'anak', 'sarana', 'stabilitas', 'ekonomi', 'rumus', 'gdp', 'xm', 'pengeluaran', 'pemerintah', 'rutin', 'gdp', 'juga', 'stabil', 'tugas', 'tinggal', 'ngawasin', 'kualitas', 'makanan', 'bersih', 'sehat', 'bergizi', 'bebas', 'korupsi'];5.0;23.0;-18.0;13;27;[('makan', 1.0), ('gratis', 4.0), ('anak', -3.0), ('stabilitas', 4.0), ('pengeluaran', -3.0), ('stabil', 3.0), ('tugas', -1.0), ('tinggal', -3.0), ('kualitas', 4.0), ('makanan', 3.0), ('sehat', 4.0), ('bebas', -4.0), ('korupsi', -4.0)];Positif
10;pak sudah memikirkan kondisi sprt ini tuk janji kampanye ngasih makan gratis anak sekolah seluruh indonesia lagian makanan bergizi program stunting itu untuk ibu hamil bukan untuk anakanak;BosPurwa;['memikirkan', 'kondisi', 'sprt', 'tuk', 'janji', 'kampanye', 'ngasih', 'makan', 'gratis', 'anak', 'sekolah', 'indonesia', 'makanan', 'bergizi', 'program', 'stunting', 'hamil', 'anakanak'];6.0;17.0;-11.0;9;18;[('memikirkan', -3.0), ('kampanye', 3.0), ('ngasih', 3.0), ('makan', 1.0), ('gratis', 4.0), ('anak', -3.0), ('sekolah', 3.0), ('makanan', 3.0), ('hamil', -5.0)];Positif
